propozitie,cuvant,user,petru,victor,stadio88,iulia,sergiu
Apreciez cu adevărat spiritul de colaborare al acestei platforme și mă angajez să fiu mai vigilent în ceea ce privește problemele legate de drepturile de autor în viitor.,platforme,2,2,2,2,1,2
Apreciez cu adevărat spiritul de colaborare al acestei platforme și mă angajez să fiu mai vigilent în ceea ce privește problemele legate de drepturile de autor în viitor.,angajez,1,1,2,2,2,2
Vă înțeleg  preocupările  legate de problemele legate de copyright  și de necesitatea de a menține  integritatea conținutului de pe platformă.,preocupările,2,2,2,2,4,1
Vă înțeleg preocupările legate de problemele legate de copyright și de necesitatea de a menține integritatea conținutului de pe platformă.,copyright,2,2,2,4,4,4
Vă înțeleg preocupările legate de problemele legate de copyright și de necesitatea de a menține integritatea conținutului de pe platformă.,menține,1,2,2,2,2,1
"Dacă nu, masați  ușor mușchiul cu crampe , puteți încerca, de asemenea, să aplicați  gheață.",masați,1,1,2,2,4,1
"Dacă nu, masați ușor mușchiul cu crampe, puteți încerca, de asemenea, să aplicați gheață.",crampe,2,2,2,1,2,3
"Dacă nu, masați ușor mușchiul cu crampe, puteți încerca, de asemenea, să aplicați gheață.",aplicați,1,1,2,2,2,1
"Dacă este posibil, găsiți un apicultor din zona dumneavoastră care ar putea fi dispus  să vă ghideze sau chiar să vă îndrume  în timpul noului  dumneavoastră interes.",dispus,1,2,2,1,2,1
"Dacă este posibil, găsiți un apicultor din zona dumneavoastră care ar putea fi dispus să vă ghideze sau chiar să vă îndrume în timpul noului dumneavoastră interes.",îndrume,1,2,2,1,2,1
"Dacă este posibil, găsiți un apicultor din zona dumneavoastră care ar putea fi dispus să vă ghideze sau chiar să vă îndrume în timpul noului dumneavoastră interes.",noului,1,2,1,1,2,1
"În încercarea de a îmbunătăți acuratețea, armata a angajat un grup mare de matematicieni  pentru a calcula  continuu  ecuațiile diferențiale necesare pentru rezolvarea tabelelor de tragere balistică.",matematicieni,1,1,1,2,4,2
"În încercarea de a îmbunătăți acuratețea, armata a angajat un grup mare de matematicieni pentru a calcula continuu ecuațiile diferențiale necesare pentru rezolvarea tabelelor de tragere balistică.",calcula,1,1,1,1,2,1
"În încercarea de a îmbunătăți acuratețea, armata a angajat un grup mare de matematicieni pentru a calcula continuu ecuațiile diferențiale necesare pentru rezolvarea tabelelor de tragere balistică.",continuu,2,2,2,2,4,3
"La multe specii anuale   în condiții nefavorabile  de uscăciune sau de frig, există  doar sămânța.",anuale,1,2,1,2,2,1
"La multe specii anuale în condiții nefavorabile de uscăciune sau de frig, există doar sămânța.",nefavorabile,2,1,2,2,2,3
"La multe specii anuale în condiții nefavorabile de uscăciune sau de frig, există doar sămânța.",există,1,1,1,1,2,1
"În  nordul  Europei (nordul Germaniei, Țările de Jos și Franța), clasa de mijloc avea  tendința  de a fi protestantă, ceea ce corespundea  cu etica și filozofia muncii.",nordul,1,1,1,1,2,1
"În nordul Europei (nordul Germaniei, Țările de Jos și Franța), clasa de mijloc avea tendința de a fi protestantă, ceea ce corespundea cu etica și filozofia muncii.",tendința,2,2,2,2,4,2
"În nordul Europei (nordul Germaniei, Țările de Jos și Franța), clasa de mijloc avea tendința de a fi protestantă, ceea ce corespundea cu etica și filozofia muncii.",corespundea,2,2,2,2,4,2
"Pentru a obține acest câmp, camera trebuie să fie  suficient  de reverberantă, iar frecvențele  trebuie să fie suficient de înalte pentru a evita efectele modurilor predominante .",suficient,1,1,2,1,4,1
"Pentru a obține acest câmp, camera trebuie să fie suficient de reverberantă, iar frecvențele trebuie să fie suficient de înalte pentru a evita efectele modurilor predominante.",frecvențele,2,4,2,4,4,4
"Pentru a obține acest câmp, camera trebuie să fie suficient de reverberantă, iar frecvențele trebuie să fie suficient de înalte pentru a evita efectele modurilor predominante.",predominante,2,2,2,2,4,3
"În chimia organică, carbonul este utilizat foarte frecvent , astfel încât chimiștii  știu că există un atom de carbon la capetele fiecărei linii care nu este etichetată în mod explicit .",frecvent,1,2,2,2,2,1
"În chimia organică, carbonul este utilizat foarte frecvent, astfel încât chimiștii știu că există un atom de carbon la capetele fiecărei linii care nu este etichetată în mod explicit.",chimiștii,2,2,1,2,4,1
"În chimia organică, carbonul este utilizat foarte frecvent, astfel încât chimiștii știu că există un atom de carbon la capetele fiecărei linii care nu este etichetată în mod explicit.",explicit,1,2,2,2,2,4
"În contextul limbajelor de programare , în cazul limbajelor declarative , se furnizează date și reguli computerului, care pot fi apoi interogate  pentru a oferi date înapoi.",programare,1,2,2,2,4,1
"În contextul limbajelor de programare, în cazul limbajelor declarative, se furnizează date și reguli computerului, care pot fi apoi interogate pentru a oferi date înapoi.",declarative,4,2,4,4,4,4
"În contextul limbajelor de programare, în cazul limbajelor declarative, se furnizează date și reguli computerului, care pot fi apoi interogate pentru a oferi date înapoi.",interogate,1,2,4,2,4,3
"În exemplul de mai sus, cantitatea conservată ar fi șosetele, sistemul ar fi uscătorul, iar sistemul este închis atâta timp cât nimeni  nu introduce  sau scoate șosete  din uscător.",nimeni,1,2,1,1,2,1
"În exemplul de mai sus, cantitatea conservată ar fi șosetele, sistemul ar fi uscătorul, iar sistemul este închis atâta timp cât nimeni nu introduce sau scoate șosete din uscător.",introduce,1,2,2,2,2,2
"În exemplul de mai sus, cantitatea conservată ar fi șosetele, sistemul ar fi uscătorul, iar sistemul este închis atâta timp cât nimeni nu introduce sau scoate șosete din uscător.",șosete,1,1,1,1,1,1
"În etapa finală, unul dintre hidrogenii moleculei  de apă legată  este atacat  de o altă moleculă de apă, lăsând un alcool.",moleculei,2,4,2,4,4,5
"În etapa finală, unul dintre hidrogenii moleculei de apă legată este atacat de o altă moleculă de apă, lăsând un alcool.",legată,2,1,1,4,4,4
"În etapa finală, unul dintre hidrogenii moleculei de apă legată este atacat de o altă moleculă de apă, lăsând un alcool.",atacat,1,2,1,4,5,2
"În aceste cazuri, rolul agentului de implementare  este de a furniza inputurile de bază, inclusiv, dar nu numai, capitalul care va da startul proiectului și îi va permite  acestuia să continue sub propriul impuls după plecarea agentului de implementare  .",implementare,2,2,2,2,4,4
"În aceste cazuri, rolul agentului de implementare este de a furniza inputurile de bază, inclusiv, dar nu numai, capitalul care va da startul proiectului și îi va permite acestuia să continue sub propriul impuls după plecarea agentului de implementare .",permite,1,1,2,2,4,3
"În acest sistem, compușii sunt denumiți prin analogie  cu gliceraldehida, ceea ce produce în general denumiri neambigue, dar este cel mai ușor  de observat în cazul micilor biomolecule  similare gliceraldehidei.",analogie,1,2,2,2,2,4
"În acest sistem, compușii sunt denumiți prin analogie cu gliceraldehida, ceea ce produce în general denumiri neambigue, dar este cel mai ușor de observat în cazul micilor biomolecule similare gliceraldehidei.",ușor,1,1,1,1,2,1
"În acest sistem, compușii sunt denumiți prin analogie cu gliceraldehida, ceea ce produce în general denumiri neambigue, dar este cel mai ușor de observat în cazul micilor biomolecule similare gliceraldehidei.",biomolecule,2,4,2,2,5,5
În cadrul conferinței au fost prezentate  datele inițiale ale analizei medicamentului pentru boli cardiovasculare   simvastatin .,prezentate,1,2,2,1,2,1
În cadrul conferinței au fost prezentate datele inițiale ale analizei medicamentului pentru boli cardiovasculare simvastatin.,cardiovasculare,2,2,2,2,4,4
În cadrul conferinței au fost prezentate datele inițiale ale analizei medicamentului pentru boli cardiovasculare simvastatin.,simvastatin,5,5,5,5,5,5
"În schimb, trece  imediat  la biții de oprire, ceea ce reprezintă o recunoaștere  a faptului că verificarea parității la acest nivel este cu adevărat inutilă.",trece,1,2,2,1,4,5
"În schimb, trece imediat la biții de oprire, ceea ce reprezintă o recunoaștere a faptului că verificarea parității la acest nivel este cu adevărat inutilă.",imediat,1,1,1,1,2,1
"În schimb, trece imediat la biții de oprire, ceea ce reprezintă o recunoaștere a faptului că verificarea parității la acest nivel este cu adevărat inutilă.",recunoaștere,1,2,2,1,4,2
"În loc să vă bazați  pe faptul că aceștia au shell  potrivit, puteți  specifica  pur și simplu ce shell ar trebui să folosească.",bazați,1,2,2,1,4,1
"În loc să vă bazați pe faptul că aceștia au shell potrivit, puteți specifica pur și simplu ce shell ar trebui să folosească.",shell,5,2,2,4,5,5
"În loc să vă bazați pe faptul că aceștia au shell potrivit, puteți specifica pur și simplu ce shell ar trebui să folosească.",specifica,1,1,2,2,4,3
Conexiunile  intercelulare permit heterocitelor  să transporte azotul fixat  către celulele vecine și să primească carbohidrați.,Conexiunile,1,2,2,2,4,3
Conexiunile intercelulare permit heterocitelor să transporte azotul fixat către celulele vecine și să primească carbohidrați.,heterocitelor,5,5,4,4,5,5
Conexiunile intercelulare permit heterocitelor să transporte azotul fixat către celulele vecine și să primească carbohidrați.,fixat,2,1,2,4,4,4
"Oasele neregulate au forme deosebite, nu pot fi grupate  sub capetele precedente  și sunt folosite pentru atașarea  mușchilor și pentru articulații.",grupate,1,2,1,1,2,1
"Oasele neregulate au forme deosebite, nu pot fi grupate sub capetele precedente și sunt folosite pentru atașarea mușchilor și pentru articulații.",precedente,2,2,2,2,2,2
"Oasele neregulate au forme deosebite, nu pot fi grupate sub capetele precedente și sunt folosite pentru atașarea mușchilor și pentru articulații.",atașarea,1,2,2,2,4,3
"Adaugă un  buton  la bara de instrumente de editare din editorul de surse, astfel încât este cel mai convenabil pentru paginile de discuții ale utilizatorilor cu legături  roșii, dar poate economisi un clic  sau două și în alte cazuri, chiar dacă nu este la fel de rapid ca Twinkle.",buton,1,1,1,1,4,1
"Adaugă un buton la bara de instrumente de editare din editorul de surse, astfel încât este cel mai convenabil pentru paginile de discuții ale utilizatorilor cu legături roșii, dar poate economisi un clic sau două și în alte cazuri, chiar dacă nu este la fel de rapid ca Twinkle.",legături,2,1,2,5,4,4
"Adaugă un buton la bara de instrumente de editare din editorul de surse, astfel încât este cel mai convenabil pentru paginile de discuții ale utilizatorilor cu legături roșii, dar poate economisi un clic sau două și în alte cazuri, chiar dacă nu este la fel de rapid ca Twinkle.",clic,1,1,2,1,4,1
"S-a spus că a trebuit să își croiască drum prin păduri fără urme , ceea ce, fără  îndoială , a fost cazul cel puțin în acest   oraș .",urme,1,2,1,1,4,1
"S-a spus că a trebuit să își croiască drum prin păduri fără urme, ceea ce, fără îndoială, a fost cazul cel puțin în acest oraș.",îndoială,1,2,2,1,4,1
"S-a spus că a trebuit să își croiască drum prin păduri fără urme, ceea ce, fără îndoială, a fost cazul cel puțin în acest oraș.",oraș,1,1,1,1,2,1
"În general, se crede că  pilusul  este  asamblat  de la baza sa, deoarece în membrana celulară se găsește o rezervă de pilină .",pilusul,5,5,4,4,5,5
"În general, se crede că pilusul este asamblat de la baza sa, deoarece în membrana celulară se găsește o rezervă de pilină.",asamblat,1,4,2,2,4,3
"În general, se crede că pilusul este asamblat de la baza sa, deoarece în membrana celulară se găsește o rezervă de pilină.",pilină,5,5,4,4,5,5
"Este important ca atunci când planificați o lecție de învățare mixtă  în clasele  primare să vă concentrați pe o unitate de studiu, apoi să o împletiți  cu tehnologia.",mixtă,1,2,1,1,4,3
"Este important ca atunci când planificați o lecție de învățare mixtă în clasele primare să vă concentrați pe o unitate de studiu, apoi să o împletiți cu tehnologia.",clasele,1,2,2,1,2,1
"Este important ca atunci când planificați o lecție de învățare mixtă în clasele primare să vă concentrați pe o unitate de studiu, apoi să o împletiți cu tehnologia.",împletiți,1,2,4,2,2,2
"Este utilizat de sistemul imunitar , pentru sinteza ADN-ului, pentru vindecarea  rănilor și pentru creșterea și dezvoltarea normală în perioadele cu activitate hormonală .",imunitar,2,2,2,2,4,2
"Este utilizat de sistemul imunitar, pentru sinteza ADN-ului, pentru vindecarea rănilor și pentru creșterea și dezvoltarea normală în perioadele cu activitate hormonală.",vindecarea,1,1,1,1,4,1
"Este utilizat de sistemul imunitar, pentru sinteza ADN-ului, pentru vindecarea rănilor și pentru creșterea și dezvoltarea normală în perioadele cu activitate hormonală.",hormonală,2,3,2,2,4,3
"Acesta prezintă în mod repetat  ilustrații  ale cercetașilor în scene însorite de munte, fără niciun  fel de pălării.",repetat,1,2,1,1,2,1
"Acesta prezintă în mod repetat ilustrații ale cercetașilor în scene însorite de munte, fără niciun fel de pălării.",ilustrații,1,1,2,2,2,2
"Acesta prezintă în mod repetat ilustrații ale cercetașilor în scene însorite de munte, fără niciun fel de pălării.",niciun,1,1,1,1,2,1
"A fost descoperită  de tonți  și de alți vorbitori de engleză și, pentru o vreme,  postarea  între cele două limbi a înflorit.",descoperită,1,1,2,2,4,2
"A fost descoperită de tonți și de alți vorbitori de engleză și, pentru o vreme, postarea între cele două limbi a înflorit.",tonți,1,4,2,2,2,4
"A fost descoperită de tonți și de alți vorbitori de engleză și, pentru o vreme, postarea între cele două limbi a înflorit.",postarea,2,2,4,1,5,2
"Vă va duce la pagina care corespunde  cererii dumneavoastră, altfel  va afișa  rezultatele căutării.",corespunde,1,2,2,1,4,2
"Vă va duce la pagina care corespunde cererii dumneavoastră, altfel va afișa rezultatele căutării.",altfel,1,2,1,1,2,1
"Vă va duce la pagina care corespunde cererii dumneavoastră, altfel va afișa rezultatele căutării.",afișa,1,1,2,1,4,1
"Hidrogenul  său este ușor de îndepărtat, astfel încât serina  și treonina acționează adesea ca donatori  de hidrogen în enzime.",Hidrogenul,2,2,2,2,4,4
"Hidrogenul său este ușor de îndepărtat, astfel încât serina și treonina acționează adesea ca donatori de hidrogen în enzime.",serina,4,5,4,4,5,5
"Hidrogenul său este ușor de îndepărtat, astfel încât serina și treonina acționează adesea ca donatori de hidrogen în enzime.",donatori,2,2,1,2,4,3
"James a fost răsturnat  (din punct de vedere tehnic  a fost abdicat  de Parlament) în Revoluția Glorioasă din 1688, care a avut loc fără vărsare de sânge.",răsturnat,1,2,2,1,4,5
"James a fost răsturnat (din punct de vedere tehnic a fost abdicat de Parlament) în Revoluția Glorioasă din 1688, care a avut loc fără vărsare de sânge.",tehnic,1,2,2,1,4,3
"James a fost răsturnat (din punct de vedere tehnic a fost abdicat de Parlament) în Revoluția Glorioasă din 1688, care a avut loc fără vărsare de sânge.",abdicat,2,2,4,2,4,2
"În cele din urmă, studiul a  analizat  conversia fosfolipidelor  bogate  în polinesaturate în triacilgliceride prin intermediul unei căi a fosfolipazei  C.",analizat,1,2,2,2,2,2
"În cele din urmă, studiul a analizat conversia fosfolipidelor bogate în polinesaturate în triacilgliceride prin intermediul unei căi a fosfolipazei C.",bogate,1,1,1,1,4,1
"În cele din urmă, studiul a analizat conversia fosfolipidelor bogate în polinesaturate în triacilgliceride prin intermediul unei căi a fosfolipazei C.",fosfolipazei,5,4,5,4,5,5
"Structurile cu puncte Lewis sunt utile pentru a introduce ideea de covalență  și de legătură  în moleculele mici, dar alte tipuri de modele au o capacitate mult mai mare de a comunica   concepte chimice.",covalență,4,5,4,4,5,4
"Structurile cu puncte Lewis sunt utile pentru a introduce ideea de covalență și de legătură în moleculele mici, dar alte tipuri de modele au o capacitate mult mai mare de a comunica concepte chimice.",legătură,1,1,1,4,2,3
"Structurile cu puncte Lewis sunt utile pentru a introduce ideea de covalență și de legătură în moleculele mici, dar alte tipuri de modele au o capacitate mult mai mare de a comunica concepte chimice.",comunica,2,2,1,2,4,1
"Ca și în cazul creării de tablouri  fără alocare dinamică , programatorul trebuie să inițializeze tabloul  cu valori sensibile înainte de a-l utiliza.",tablouri,4,1,2,2,4,5
"Ca și în cazul creării de tablouri fără alocare dinamică, programatorul trebuie să inițializeze tabloul cu valori sensibile înainte de a-l utiliza.",dinamică,2,2,4,2,4,4
"Ca și în cazul creării de tablouri fără alocare dinamică, programatorul trebuie să inițializeze tabloul cu valori sensibile înainte de a-l utiliza.",tabloul,2,1,2,4,4,5
"Poșta este generată  intern de către sistemul Postfix însuși, pentru a notifica  poștașul  despre o problemă (această cale este, de asemenea, indicată cu săgeata fără etichetă).",generată,2,2,2,2,4,2
"Poșta este generată intern de către sistemul Postfix însuși, pentru a notifica poștașul despre o problemă (această cale este, de asemenea, indicată cu săgeata fără etichetă).",notifica,1,2,2,2,4,1
"Poșta este generată intern de către sistemul Postfix însuși, pentru a notifica poștașul despre o problemă (această cale este, de asemenea, indicată cu săgeata fără etichetă).",poștașul,1,2,1,1,4,1
Multe federații  folosesc aceste subvenții  pentru a corecta dezechilibrele dintre impozite și  cheltuieli  la diferite niveluri de guvernare.,federații,2,2,2,2,4,2
Multe federații folosesc aceste subvenții pentru a corecta dezechilibrele dintre impozite și cheltuieli la diferite niveluri de guvernare.,subvenții,2,2,2,2,2,3
Multe federații folosesc aceste subvenții pentru a corecta dezechilibrele dintre impozite și cheltuieli la diferite niveluri de guvernare.,cheltuieli,1,2,2,1,4,2
"Multe protiste  de apă dulce au vacuole  contractile care pompează excesul de apă din celulă, menținând astfel  o concentrație adecvată de ioni și molecule în interiorul celulei.",protiste,5,5,4,4,5,5
"Multe protiste de apă dulce au vacuole contractile care pompează excesul de apă din celulă, menținând astfel o concentrație adecvată de ioni și molecule în interiorul celulei.",vacuole,4,4,4,4,4,5
"Multe protiste de apă dulce au vacuole contractile care pompează excesul de apă din celulă, menținând astfel o concentrație adecvată de ioni și molecule în interiorul celulei.",astfel,1,1,2,1,2,1
"Laptele este un aliment nutritiv  valoros, oferind vitamine și grăsimi  esențiale celor care îl pot digera în mod corespunzător .",nutritiv,1,2,2,2,2,2
"Laptele este un aliment nutritiv valoros, oferind vitamine și grăsimi esențiale celor care îl pot digera în mod corespunzător.",grăsimi,2,2,1,1,4,1
"Laptele este un aliment nutritiv valoros, oferind vitamine și grăsimi esențiale celor care îl pot digera în mod corespunzător.",corespunzător,1,2,2,2,2,2
"Utilizarea modernă a emoticoanelor  în discuțiile electronice  se datorează , în general, unei propuneri din 1982.>>",emoticoanelor,1,2,2,1,4,2
"Utilizarea modernă a emoticoanelor în discuțiile electronice se datorează, în general, unei propuneri din 1982.>>",electronice,1,2,2,2,4,1
"Utilizarea modernă a emoticoanelor în discuțiile electronice se datorează, în general, unei propuneri din 1982.>>",datorează,1,2,1,2,4,1
"Cele mai multe interogări DNS (cum ar fi cererile de rezolvare a numelui) utilizează conexiuni UDP, deoarece cantitatea de date transferate este mică, iar stabilirea sesiunii ar introduce  un trafic  și o sarcină inutile  asupra serverelor de nume.",introduce,1,2,2,1,4,1
"Cele mai multe interogări DNS (cum ar fi cererile de rezolvare a numelui) utilizează conexiuni UDP, deoarece cantitatea de date transferate este mică, iar stabilirea sesiunii ar introduce un trafic și o sarcină inutile asupra serverelor de nume.",trafic,2,1,2,2,4,3
"Cele mai multe interogări DNS (cum ar fi cererile de rezolvare a numelui) utilizează conexiuni UDP, deoarece cantitatea de date transferate este mică, iar stabilirea sesiunii ar introduce un trafic și o sarcină inutile asupra serverelor de nume.",inutile,1,2,2,1,2,1
Conflictele  multiple  consecutive  sunt observate și vor genera un mesaj ușor  diferit.,Conflictele,2,2,2,2,4,1
Conflictele multiple consecutive sunt observate și vor genera un mesaj ușor diferit.,consecutive,1,2,2,1,2,2
Conflictele multiple consecutive sunt observate și vor genera un mesaj ușor diferit.,ușor,1,2,1,1,2,1
"Aproape de sfârșitul războiului, Germania  încearcă  să lupte  pentru o ultimă luptă  cu Aliații.",încearcă,1,2,1,1,2,1
"Aproape de sfârșitul războiului, Germania încearcă să lupte pentru o ultimă luptă cu Aliații.",lupte,1,2,1,1,4,1
"Aproape de sfârșitul războiului, Germania încearcă să lupte pentru o ultimă luptă cu Aliații.",luptă,1,1,1,1,2,1
"Două sau mai multe state nu vor încheia niciun tratat, confederație sau alianță  între ele, fără consimțământul Statelor Unite în Congresul reunit, specificând cu exactitate  scopurile  pentru care se încheie și durata de valabilitate a acestuia.",alianță,1,2,2,2,2,2
"Două sau mai multe state nu vor încheia niciun tratat, confederație sau alianță între ele, fără consimțământul Statelor Unite în Congresul reunit, specificând cu exactitate scopurile pentru care se încheie și durata de valabilitate a acestuia.",exactitate,1,2,2,2,2,2
"Două sau mai multe state nu vor încheia niciun tratat, confederație sau alianță între ele, fără consimțământul Statelor Unite în Congresul reunit, specificând cu exactitate scopurile pentru care se încheie și durata de valabilitate a acestuia.",scopurile,1,2,2,1,2,1
"Adesea, paginile de discuții  ale  subiectelor  controversate pot fi foarte intens  utilizate.",discuții,1,1,2,1,1,1
"Adesea, paginile de discuții ale subiectelor controversate pot fi foarte intens utilizate.",subiectelor,1,2,2,1,4,2
"Adesea, paginile de discuții ale subiectelor controversate pot fi foarte intens utilizate.",intens,1,2,2,1,2,2
"Pe partea germană, însă, s-a format un decalaj între cele mai vestice  corpuri de armată, iar înaintarea  rapidă  a epuizat trupele.",vestice,1,2,2,1,2,1
"Pe partea germană, însă, s-a format un decalaj între cele mai vestice corpuri de armată, iar înaintarea rapidă a epuizat trupele.",înaintarea,1,2,1,1,2,1
"Pe partea germană, însă, s-a format un decalaj între cele mai vestice corpuri de armată, iar înaintarea rapidă a epuizat trupele.",rapidă,1,1,1,1,2,1
"Un lucru important de menționat  este faptul că caracterele pentru numerale  sunt reprezentate diferit de numărul lor corespunzător , i.e.",menționat,1,1,2,1,2,1
"Un lucru important de menționat este faptul că caracterele pentru numerale sunt reprezentate diferit de numărul lor corespunzător, i.e.",numerale,1,1,2,2,4,3
"Un lucru important de menționat este faptul că caracterele pentru numerale sunt reprezentate diferit de numărul lor corespunzător, i.e.",corespunzător,1,2,2,2,2,2
"La o săptămână de la ultimul comentariu, dacă participanții  au ajuns  în mare parte la un consens  cu privire la ceea ce trebuie făcut, un administrator va lua măsuri.",participanții,1,2,2,1,2,2
"La o săptămână de la ultimul comentariu, dacă participanții au ajuns în mare parte la un consens cu privire la ceea ce trebuie făcut, un administrator va lua măsuri.",ajuns,1,1,2,1,2,1
"La o săptămână de la ultimul comentariu, dacă participanții au ajuns în mare parte la un consens cu privire la ceea ce trebuie făcut, un administrator va lua măsuri.",consens,1,4,2,2,2,3
"Doar Piatra Învierii i se pare dubioasă  pentru Hermione, deși Harry speră  că aceasta i-ar putea învia  părinții morți.",dubioasă,2,2,2,1,2,2
"Doar Piatra Învierii i se pare dubioasă pentru Hermione, deși Harry speră că aceasta i-ar putea învia părinții morți.",speră,1,1,1,1,2,1
"Doar Piatra Învierii i se pare dubioasă pentru Hermione, deși Harry speră că aceasta i-ar putea învia părinții morți.",învia,1,2,1,1,2,2
"Chimia organică se concentrează  asupra carbonului și urmărește mișcarea electronilor în lanțurile și inelele de carbon, precum și modul în care electronii sunt împărțiți  cu alți atomi  de carbon și heteroatomi.",concentrează,1,2,1,1,2,2
"Chimia organică se concentrează asupra carbonului și urmărește mișcarea electronilor în lanțurile și inelele de carbon, precum și modul în care electronii sunt împărțiți cu alți atomi de carbon și heteroatomi.",împărțiți,1,2,2,1,4,1
"Chimia organică se concentrează asupra carbonului și urmărește mișcarea electronilor în lanțurile și inelele de carbon, precum și modul în care electronii sunt împărțiți cu alți atomi de carbon și heteroatomi.",atomi,2,3,2,2,4,3
"În timp, carnea se înmoaie  și își dezvoltă mai mult gustul, iar pentru anumite tipuri de carne acest proces poate fi prelungit  cu grijă  printr-un proces numit învechire.",înmoaie,1,2,1,1,4,1
"În timp, carnea se înmoaie și își dezvoltă mai mult gustul, iar pentru anumite tipuri de carne acest proces poate fi prelungit cu grijă printr-un proces numit învechire.",prelungit,1,1,1,1,2,2
"În timp, carnea se înmoaie și își dezvoltă mai mult gustul, iar pentru anumite tipuri de carne acest proces poate fi prelungit cu grijă printr-un proces numit învechire.",grijă,1,2,1,1,2,1
Imaginați-vă că deschideți capota  unei mașini și găsiți o mașină de spălat  în locul motorului .,capota,1,1,1,2,2,2
Imaginați-vă că deschideți capota unei mașini și găsiți o mașină de spălat în locul motorului.,spălat,1,2,1,1,2,1
Imaginați-vă că deschideți capota unei mașini și găsiți o mașină de spălat în locul motorului.,motorului,1,2,1,1,4,1
"Proiectele de lege private afectează o anumită companie, persoană sau altă entitate  (de exemplu, autorizarea unor construcții  majore pe anumite  terenuri publice).",entitate,2,2,2,2,4,4
"Proiectele de lege private afectează o anumită companie, persoană sau altă entitate (de exemplu, autorizarea unor construcții majore pe anumite terenuri publice).",construcții,1,2,1,1,2,1
"Proiectele de lege private afectează o anumită companie, persoană sau altă entitate (de exemplu, autorizarea unor construcții majore pe anumite terenuri publice).",anumite,1,2,2,1,2,1
"Cu dimensiuni variate, de la  lacuri  de mari dimensiuni și văi închise la iazuri în miniatură, aceste depresiuni  au fost lăsate de gheața îngropată care s-a topit în cele din urmă .",lacuri,1,1,1,1,2,1
"Cu dimensiuni variate, de la lacuri de mari dimensiuni și văi închise la iazuri în miniatură, aceste depresiuni au fost lăsate de gheața îngropată care s-a topit în cele din urmă.",depresiuni,2,2,2,4,4,4
"Cu dimensiuni variate, de la lacuri de mari dimensiuni și văi închise la iazuri în miniatură, aceste depresiuni au fost lăsate de gheața îngropată care s-a topit în cele din urmă.",urmă,1,1,1,1,2,2
"Nu uitați că textul va curge și se va înfășura  diferit pentru alți utilizatori, în funcție de browserul ales   rezoluția ecranului, dimensiunea implicită  a fontului, opțiunile de accesibilitate, numărul de bare de instrumente și bare laterale (cum ar fi panourile de mesagerie instantanee) și altele.",înfășura,2,1,2,2,4,4
"Nu uitați că textul va curge și se va înfășura diferit pentru alți utilizatori, în funcție de browserul ales rezoluția ecranului, dimensiunea implicită a fontului, opțiunile de accesibilitate, numărul de bare de instrumente și bare laterale (cum ar fi panourile de mesagerie instantanee) și altele.",ales,1,1,2,1,4,1
"Nu uitați că textul va curge și se va înfășura diferit pentru alți utilizatori, în funcție de browserul ales rezoluția ecranului, dimensiunea implicită a fontului, opțiunile de accesibilitate, numărul de bare de instrumente și bare laterale (cum ar fi panourile de mesagerie instantanee) și altele.",implicită,2,2,2,2,2,4
Respirația  de salvare este utilizată dacă victima  nu începe   să respire atunci când se deschid căile respiratorii.,Respirația,1,1,1,2,2,1
Respirația de salvare este utilizată dacă victima nu începe să respire atunci când se deschid căile respiratorii.,victima,1,1,2,1,4,1
Respirația de salvare este utilizată dacă victima nu începe să respire atunci când se deschid căile respiratorii.,începe,1,1,1,1,2,1
"Tampoanele sensibile ale degetelor  noastre, folosite ca antene tactile, detectează cea mai mică  tresărire, încordare sau ezitare  de răspuns.",degetelor,1,1,1,1,2,1
"Tampoanele sensibile ale degetelor noastre, folosite ca antene tactile, detectează cea mai mică tresărire, încordare sau ezitare de răspuns.",mică,1,2,1,1,2,1
"Tampoanele sensibile ale degetelor noastre, folosite ca antene tactile, detectează cea mai mică tresărire, încordare sau ezitare de răspuns.",ezitare,1,2,2,1,2,3
"Ea aranjează  împrumutul unui reparator de la un concurent, dar între timp organizează  un număr mare de oameni cu lanterne într-un sistem manual  de semnalizare.",aranjează,1,2,2,1,4,2
"Ea aranjează împrumutul unui reparator de la un concurent, dar între timp organizează un număr mare de oameni cu lanterne într-un sistem manual de semnalizare.",organizează,1,2,2,1,2,2
"Ea aranjează împrumutul unui reparator de la un concurent, dar între timp organizează un număr mare de oameni cu lanterne într-un sistem manual de semnalizare.",manual,1,2,1,1,2,1
"Fusese surprinsă  de faptul că Taggart trecuse  într-o zi, din senin, prin camera ei de mahala .",surprinsă,1,2,2,1,2,1
"Fusese surprinsă de faptul că Taggart trecuse într-o zi, din senin, prin camera ei de mahala.",trecuse,1,2,1,1,2,1
"Fusese surprinsă de faptul că Taggart trecuse într-o zi, din senin, prin camera ei de mahala.",mahala,1,2,2,1,2,3
"Deoarece majoritatea manualelor  sunt elaborate de către sau pe baza contribuțiilor  experților în domeniu, această cerință este, de obicei, bine respectată .",manualelor,1,1,1,1,4,1
"Deoarece majoritatea manualelor sunt elaborate de către sau pe baza contribuțiilor experților în domeniu, această cerință este, de obicei, bine respectată.",contribuțiilor,1,2,2,1,4,3
"Deoarece majoritatea manualelor sunt elaborate de către sau pe baza contribuțiilor experților în domeniu, această cerință este, de obicei, bine respectată.",respectată,1,2,2,2,4,3
